_time,user,action,search
2025-12-15T09:58:31.977+0800,kimjoe,search,"'search index=_audit action=""search"" user=""kimjoe"" ""botsv3"" 
| table _time user action search 
| sort - _time'"
2025-12-15T09:57:32.495+0800,kimjoe,search,"'search index=_audit action=""search"" user=""kimjoe"" ""botsv3"" 
| table _time user action search 
| sort - _time'"
2025-12-15T09:57:13.443+0800,kimjoe,search,"'search index=_audit action=""search"" user=""kimjoe"" ""botsv3"" 
| table _time user action search 
| sort - _time'"
2025-12-15T09:54:02.724+0800,kimjoe,search,"'search index=botsv3 sourcetype=WinEventLog:*
| rex field=_raw ""ComputerName=(?<computer>[^\s]+)""
| eval User=lower(mvindex(split(computer, ""-""), 0))
| eval Role=case(
    match(computer, ""BSTOLL-L\.froth\.ly""), ""Suspect Workstation"",
    match(computer, ""SEPM""), ""Security Server"",
    match(computer, ""-L\.froth\.ly$""), ""Standard Workstation"",
    true(), ""Other""
)
| stats count as TotalEvents, values(User) as AssociatedUser by computer, Role
| sort -TotalEvents
| eval SuspectDevice=if(match(computer, ""BSTOLL-L""), ""Suspect"", ""Normal"")
| eval RelativeActivity=round(TotalEvents*100/sum(TotalEvents), 2)
| table computer, AssociatedUser, Role, TotalEvents, RelativeActivity, SuspectDevice'"
2025-12-15T09:53:45.337+0800,kimjoe,search,"'search index=botsv3 sourcetype=WinEventLog:*
| rex field=_raw ""ComputerName=(?<computer>[^\s]+)""
| eval User=lower(mvindex(split(computer, ""-""), 0))
| eval Role=case(
    match(computer, ""BSTOLL-L\.froth\.ly""), ""Suspect Workstation"",
    match(computer, ""SEPM""), ""Security Server"",
    match(computer, ""-L\.froth\.ly$""), ""Standard Workstation"",
    true(), ""Other""
)
| stats count as TotalEvents, values(User) as AssociatedUser by computer, Role
| sort -TotalEvents
| eval SuspectDevice=if(match(computer, ""BSTOLL-L""), ""Suspect"", ""Normal"")
| eval RelativeActivity=round(TotalEvents*100/sum(TotalEvents), 2)
| table computer, AssociatedUser, Role, TotalEvents, RelativeActivity, SuspectDevice'"
2025-12-12T21:04:24.329+0800,kimjoe,search,botsv3
2025-12-12T21:04:24.293+0800,kimjoe,search,botsv3
2025-12-12T21:04:04.912+0800,kimjoe,search,botsv3
2025-12-12T21:03:59.307+0800,kimjoe,search,botsv3
2025-12-12T21:00:54.278+0800,kimjoe,search,*index=botsv3*
2025-12-12T21:00:31.751+0800,kimjoe,search,*index=botsv3*
2025-12-12T21:00:24.327+0800,kimjoe,search,*index=botsv3*
2025-12-12T21:00:24.303+0800,kimjoe,search,*index=botsv3*
2025-12-12T21:00:24.282+0800,kimjoe,search,*index=botsv3*
